"Bank","Month","Requests","Approved","Issues","Approval","Accepted"
"B",16,11253.619240641,5250,2828,0.466516583486342,0.538666666666667
"B",17,2607.14534280775,1225,1019.2,0.469862565728976,0.832
"B",18,3701.29294942668,1750,1456,0.472807752293985,0.832
"B",19,5522.57205464941,2625,2226,0.475322001057466,0.848
"B",20,5498.60287415395,2625,2037,0.47739399627108,0.776
"B",21,2557.20127210282,1225,1176,0.479039336232093,0.96
"B",22,7287.1421072628,3500,2828,0.480298030212927,0.808
"B",23,7273.0856668063,3500,2800,0.48122628556043,0.8
"B",24,10894.672556649,5250,4116,0.481886901391628,0.784
"C",1,14058.3333333333,3149.06666666667,2696.59468527121,0.224,0.8563155279674
"C",2,18333.3333333333,4180,3590.78299868895,0.228,0.859038994901662
"C",3,16750,3484,2973.8411011956,0.208,0.853570924568197
"C",4,15333.3333333333,2790.66666666667,2346.67894429567,0.182,0.840902631735189
"C",5,9858.33333333333,2050.53333333333,1687.18137861359,0.208,0.822801244528379
"C",6,13000,3094,2479.83757527764,0.238,0.80149889310848
"C",7,18125,3298.75,2570.74810802418,0.182,0.779309771284329
"C",8,17000,3264,2474.90077772627,0.192,0.758241659842607
"C",9,7525,1384.6,1024.1602658675,0.184,0.739679521787884
"C",10,5166.66666666667,981.666666666667,710.954293437552,0.19,0.724231877865078
"C",11,5041.66666666667,1189.83333333333,846.925017491207,0.236,0.711801387441833
"C",12,7500,1515,1063.29315392842,0.202,0.701843665959356
"C",13,3529.16666666667,684.658333333333,474.934884927266,0.194,0.693681595336748
"C",14,5166.66666666667,1095.33333333333,752.208944089866,0.212,0.686739754190383
"C",15,5375,1225.5,834.130202009798,0.228,0.680644799681598
"C",16,5666.66666666667,1337.33333333333,902.990407869034,0.236,0.67521715443846
"C",17,4229.16666666667,786.625,527.360324216438,0.186,0.670408802436279
"C",18,6500,1365,909.407677674134,0.21,0.666232730896802
"C",19,10562.5,2070.25,1371.97257553655,0.196,0.662708646557929
"C",20,11500,2645,1745.25655225646,0.23,0.659832344898474
"C",21,5862.5,1231.125,809.545992715951,0.21,0.657566041397869
"C",22,18333.3333333333,4363.33333333333,2861.6607055221,0.238,0.655842789653652
"C",23,20083.3333333333,4739.66666666667,3102.48015288957,0.236,0.654577710012567
"C",24,33000,7260,4745.71936567631,0.22,0.65368035339894
"D",1,NA,NA,NA,NA,NA
"D",2,NA,NA,NA,NA,NA
"D",3,10986.1228866811,5209.68614989123,3845.14301033838,0.474206069204554,0.738075749614718
"D",4,13862.9436111989,6476.32542569649,4852.03026391962,0.467168128741771,0.74919494389024
"D",5,11266.0653870387,5149.85145632974,3943.12288546355,0.457111802515766,0.765677013968434
"D",6,17917.5946922805,7978.29572946069,6271.15814229819,0.445277162838045,0.786027286396678
"D",7,29188.6522358297,12637.2232766679,10216.0282825404,0.432949872935738,0.808407674603821
"D",8,31191.6231251975,13139.3267175749,10917.0680938191,0.421245366579226,0.83086967304167
"D",9,15380.5720413535,6320.38565131805,5383.20021447374,0.410933067659936,0.851720213204257
"D",10,11512.9254649702,4632.23757178671,4029.52391273958,0.402351043258377,0.869887144234994
"D",11,11989.4763639919,4741.18106143914,4196.31672739715,0.395445215245463,0.885078353477476
"D",12,18636.79987341,7266.73330272497,6522.8799556935,0.389913147755198,0.897635799190191
"D",13,8977.32275111538,3459.66864880367,3142.06296289038,0.385378664075971,0.908197657592697
"D",14,13195.2866480763,5034.29328287309,4618.3503268267,0.381522085661324,0.917378084137163
"D",15,54161.0040220442,20480.2254072992,18956.3514077155,0.37813599982311,0.925592908804578
"D",16,41588.8308335967,15600.8288954909,14556.0907917589,0.3751206413547,0.933033166972684
"D",17,9916.24670419676,3693.29948756847,3470.68634646886,0.372449334686822,0.939725131457951
"D",18,14451.8587894808,5349.05630436153,5058.15057631829,0.370129294942668,0.945615504587969
"D",19,22083.2923437483,8130.43821148251,7729.1523203119,0.368171470309961,0.950644002114932
"D",20,22467.9920516549,8236.17104477987,7863.79721807923,0.366573524943597,0.954787992542159
"D",21,10655.828532032,3892.72832534596,3729.53998621119,0.365314467443261,0.958078672464186
"D",22,30910.4245335832,11262.4328086022,10818.6485867541,0.36435710536314,0.960596060425853
"D",23,31354.9421592915,11402.3590201142,10974.229755752,0.363654283340315,0.96245257112086
"D",24,47670.8074552192,17311.9279245225,16684.7826093267,0.3631557518883,0.963773802783257
"E",1,NA,NA,NA,NA,NA
"E",2,NA,NA,NA,NA,NA
"E",3,NA,NA,NA,NA,NA
"E",4,NA,NA,NA,NA,NA
"E",5,4970.41420118343,617.658396485295,395.274520138947,0.124266986911922,0.639956523522072
"E",6,7692.30769230769,858.631733155765,535.260742887237,0.111622125310249,0.623388027973262
"E",7,12413.7931034483,1275.88553967662,773.352275196955,0.10277966847395,0.606129822110034
"E",8,13235.2941176471,1272.96621254909,750.723566387492,0.0961796693925976,0.589743513210917
"E",9,6511.62790697674,592.713915012824,340.992046277331,0.0910239226626837,0.57530629472391
"E",10,4838.70967741935,420.284982487018,236.742941637272,0.0868588963806504,0.563291460561728
"E",11,4958.67768595041,413.58584273479,228.970759643829,0.0834064782848493,0.553623301343648
"E",12,7500,603.644406572767,329.516446968248,0.0804859208763689,0.545878406857277
"E",13,3471.07438016529,270.654418190971,146.026213352174,0.077974249050256,0.539530129706359
"E",14,4838.70967741935,366.69985324834,195.865729952211,0.0757846363379902,0.534130919925853
"E",15,18604.6511627907,1374.02557420969,727.395948000827,0.073853874613771,0.529390399752354
"E",16,13235.2941176471,954.724659411814,501.39169717799,0.0721347520444482,0.52516889789658
"E",17,2896.55172413793,204.471133825103,106.617192858148,0.0705912247729522,0.52142906856155
"E",18,3846.15384615385,266.13558173938,137.906405319695,0.0691952512522387,0.518181012919735
"E",19,5325.44378698225,361.728928645678,186.449580118377,0.0679246543790217,0.515440058433945
"E",20,4891.30434782609,326.551500680218,167.587188551956,0.0667616401390668,0.513202934921036
"E",21,2089.55223880597,137.266338583365,70.2035311284554,0.0656917477506102,0.511440254420565
"E",22,5454.54545454545,352.925948889461,180.027508002865,0.0647030906297345,0.510099947508396
"E",23,NA,NA,NA,NA,NA
"E",24,NA,NA,NA,NA,NA
